ind,angle,names,u,s,m,l,u.r,s.r,m.r,l.r,x,y,z,h.theta,h.phi,r.vec,r.max,r.achieved,lum
CE24K01,-80,CE24K01 -80,0.253094013,0.245236744,0.248804563,0.25286468,0.003094013,-0.004763256,-0.001195437,0.00286468,0.004671138,-0.000174054,0.003094013,-0.037244347,0.584701496,0.005605599,0.294210468,0.019053023,0.060499193
CE24K01,-60,CE24K01 -60,0.232501797,0.250120197,0.255116978,0.262261028,-0.017498203,0.000120197,0.005116978,0.012261028,0.00743471,-0.000759174,-0.017498203,-0.101759479,-1.167153724,0.019027306,0.271846572,0.06999281,0.03687574
CE24K01,-40,CE24K01 -40,0.231906397,0.261549535,0.253713079,0.25283099,-0.018093603,0.011549535,0.003713079,0.00283099,-0.005338997,-0.00245874,-0.018093603,-2.710020859,-1.256687992,0.019024426,0.262861207,0.072374413,0.024232072
CE24K01,-20,CE24K01 -20,0.237222059,0.274963455,0.248130836,0.23968365,-0.012777941,0.024963455,-0.001869164,-0.01031635,-0.02160438,-0.006500233,-0.012777941,-2.849332676,-0.515325183,0.025928325,0.507286843,0.051111763,0.017394318
CE24K01,0,CE24K01 0,0.264619725,0.409192087,0.097182104,0.229006084,0.014619725,0.159192087,-0.152817896,-0.020993916,-0.110340942,-0.156919003,0.014619725,-2.183647523,0.076064893,0.192386156,0.314731065,0.611271584,0.077257316
CE24K01,20,CE24K01 20,0.26023833,0.260551896,0.24280445,0.236405324,0.01023833,0.010551896,-0.00719555,-0.013594676,-0.014786695,-0.004012237,0.01023833,-2.876631347,0.589090031,0.018427366,0.338870992,0.054378706,0.015856474
CE24K01,40,CE24K01 40,0.24079224,0.274972403,0.249464877,0.23477048,-0.00920776,0.024972403,-0.000535123,-0.01522952,-0.024618549,-0.003823018,-0.00920776,-2.987533022,-0.354016975,0.026560709,0.436007011,0.060918079,0.01653806
CE24K01,60,CE24K01 60,0.254916749,0.255959881,0.243774184,0.245349186,0.004916749,0.005959881,-0.006225816,-0.004650814,-0.006497697,-0.004865142,0.004916749,-2.498892836,0.544612156,0.00949021,0.381082967,0.024903266,0.028881112
CE24K01,80,CE24K01 80,0.263357289,0.265140587,0.240719407,0.230782717,0.013357289,0.015140587,-0.009280593,-0.019217283,-0.021039813,-0.005121041,0.013357289,-2.902837552,0.552716344,0.025442405,0.330983374,0.076869132,0.024896757
CE29K01,-80,CE29K01 -80,0.227443464,0.242156002,0.259636211,0.270764323,-0.022556536,-0.007843998,0.009636211,0.020764323,0.017518947,0.002245806,-0.022556536,0.127497598,-0.906492658,0.028648812,0.317522301,0.090226142,0.031730072
CE29K01,-60,CE29K01 -60,0.228295249,0.249046656,0.258053864,0.264604231,-0.021704751,-0.000953344,0.008053864,0.014604231,0.00952703,0.000868624,-0.021704751,0.090923297,-1.155654429,0.023719507,0.273206397,0.086819004,0.016698089
CE29K01,-40,CE29K01 -40,0.251622814,0.256369575,0.247597032,0.244410578,0.001622814,0.006369575,-0.002402968,-0.005589422,-0.00732336,-0.001974981,0.001622814,-2.878176945,0.210772926,0.007756654,0.346934535,0.022357687,0.013889414
CE29K01,-20,CE29K01 -20,0.242953609,0.276560974,0.237778435,0.242706982,-0.007046391,0.026560974,-0.012221565,-0.007293018,-0.020731252,-0.015454203,-0.007046391,-2.501007086,-0.26604718,0.026800538,0.54822228,0.048886261,0.010260974
CE29K01,0,CE29K01 0,0.23100072,0.419104344,0.093098542,0.256796394,-0.01899928,0.169104344,-0.156901458,0.006796394,-0.099392915,-0.173136388,-0.01899928,-2.091933616,-0.094883091,0.200539604,0.319531135,0.627605834,0.065878689
CE29K01,20,CE29K01 20,0.277979987,0.258980271,0.236844813,0.22619493,0.027979987,0.008980271,-0.013155187,-0.02380507,-0.020076839,-0.004060764,0.027979987,-2.942023892,0.938867635,0.034676346,0.364169745,0.095220282,0.010288814
CE29K01,40,CE29K01 40,0.281131386,0.252563226,0.237090243,0.229215146,0.031131386,0.002563226,-0.012909757,-0.020784854,-0.014297721,-0.002686259,0.031131386,-2.955877448,1.133644392,0.034362828,0.413315726,0.083139417,0.013188989
CE29K01,60,CE29K01 60,0.277147008,0.242817711,0.238963448,0.241071833,0.027147008,-0.007182289,-0.011036552,-0.008928167,-0.001069128,-0.002108114,0.027147008,-2.04014682,1.483944204,0.027249719,0.617260725,0.044146206,0.022862887
CE29K01,80,CE29K01 80,0.240599877,0.249153987,0.253574012,0.256672123,-0.009400123,-0.000846013,0.003574012,0.006672123,0.0046039,0.000467367,-0.009400123,0.10116892,-1.113337864,0.010477434,0.278651532,0.03760049,0.021851813
CE29K02redo,-80,CE29K02redo -80,0.286595207,0.248552802,0.236241403,0.228610588,0.036595207,-0.001447198,-0.013758597,-0.021389412,-0.012212062,-0.001654836,0.036595207,-3.006904741,1.245968089,0.038614533,0.451327652,0.085557649,0.072199052
CE29K02redo,-60,CE29K02redo -60,0.302346027,0.233805686,0.229763287,0.234085001,0.052346027,-0.016194314,-0.020236713,-0.015914999,0.000171045,-0.00295716,0.052346027,-1.513019785,1.514269645,0.052429768,0.647706078,0.080946852,0.110205713
