Taxon,Male_ID,Dive_number_,dive_length,dive_start_relative_to_t=0,dive_end_relative_to_t=0,Max_velocity,max_Vel_Time_relative_to_t=0,Mean_Max_X_vel,maxVel_x_time_relative_to_t=0,Mean_Max_Y_vel,maxVel_y_time_relative_to_t=0,relative_time_closest_to_female,Closest_Dist_to_female_(m),MaxDoppler,MaxDopplerTime(z=0),MinDoppler,MinDopplerTime(z=0),Dopp=1,Dopp=1Time,W1Start_Relative_to_z=0,W1End_Relative_to_z=0,W1LowFreq,W1HighFreq,Gap_between_W1_and_W2_,W2Start_Relative_to_z=0,W2End_Relative_to_z=0,W2LowFreq,W2HighFreq,YStart_Relative_to_z=0,YEnd_Relative_to_z=0,YNumber_of_elements,YLowFreq,YHighFreq,XStart_Relative_to_z=0,XEnd_Relative_to_z=0,XNumber_of_elements,XLowFreq,XHighFreq
bchu,CE26K01,1,2.621667,-1.250000333,1.371666667,11.02268148,-0.008333333,5.77554803,0.016666667,9.604519874,-0.058333333,-0.3,0.3653,1.038703342,-0.35,0.964192405,0.266666667,1.001340788,0.133333333,-1.133333333,-0.873233333,4114.286,5790.476,0.1862,-0.674933333,-0.459333333,4190.476,5866.667,-0.298733333,0.187366667,7,1447.619,2133.333,-0.287933333,0.137366667,6,4114.286,6019.048
bchu,CE26K01,2,2.6333,-1.258366667,1.374933333,15.5365661,-0.116666667,8.318012591,-1.275,13.81646202,-0.108333333,-0.1,0.6312,1.031700135,-0.458333333,0.968056224,-0.158333333,0.999639034,-0.3,-1.072466667,-0.855966667,4114.286,5638.095,0.2215,-0.598666667,-0.363466667,4190.476,6095.238,-0.263166667,0.199433333,7,1752.381,2514.286,-0.363066667,0.228833333,8,4266.667,6019.048
bchu,CE26K01,3,2.8333,-1.566666667,1.266633333,12.39599144,-0.15,8.275419346,0.016666667,10.03153342,0.016666667,-0.183333333,0.8354,1.025756,-0.458333333,0.969190618,-0.041666667,1.001541102,-0.333333333,-1.320466667,-1.124466667,4266.667,5714.286,0.2372,-0.839366667,-0.608066667,4386.207,5710.345,-0.443466667,0.250433333,10,1572.414,2400,-0.486566667,0.201433333,9,4137.9,6206.897
bchu,CE26K01,4,2.791666,-1.516666667,1.274999333,15.34472224,-0.25,7.015550396,-0.133333333,13.78080338,0.375,-0.2,0.4376,1.043956044,-0.316666667,0.961726028,-0.041666667,1.001015193,-0.133333333,-0.986966667,-0.773266667,3961.905,5638.095,0.1725,-0.579266667,-0.367566667,4495.238,5942.857,-0.320166667,0.230633333,8,1676.19,2285.714,-0.371066667,0.095433333,7,4468.966,5875.862
bchu,CE24K01,1,2.508333,-1.100000333,1.408332667,11.94916218,-0.541666667,7.689577888,-0.166666667,7.643100787,-0.716666667,-0.1,0.4776,1.033317674,-0.458333333,0.970045458,0,1.000174886,-0.208333333,-1.121233333,-0.880033333,4393.22,5519.38,0.1613,-0.724233333,-0.488733333,4311.864,5572.881,-0.154333333,0.381866667,8,1749.153,2237.288,-0.318833333,0.502466667,12,4515.254,5654.237
bchu,CE24K01,2,2.1667,-1.000033333,1.166666667,19.22634718,0.266666667,8.726394252,0.033333333,16.20119342,0.208333333,-0.2,2.2239,1.04338466,-0.333333333,0.962956727,-0.15,0.999091576,-0.225,-0.666733333,-0.524133333,4433.898,5491.525,0.2522,-0.261333333,-0.102033333,4433.898,5614.286,-0.049933333,0.266466667,7,1604.95,2215.12,-0.092133333,0.393566667,7,4117.191,5400
bchu,CE24K01,3,2.574934,-1.450000667,1.124933333,13.83298763,-0.483333333,10.3161439,0.008333333,9.895970468,-0.608333333,0.016666667,1.9302,1.034522816,-0.566666667,0.978261341,0.008333333,0.998859693,-0.125,-1.410266667,-1.217266667,4457.143,5657.143,0.2588,-0.954166667,-0.756766667,4671.429,5828.571,-0.412466667,0.186233333,9,1757.143,2271.429,-0.596666667,0.164233333,11,4757.143,5871.429
bchu,CE24K01,4,2.383334,-1.283334,1.1,15.15920629,0.016666667,14.3117576,0.008333333,5.61278785,-0.6,-0.25,3.3723,1.029354089,-0.475,0.947233918,0.216666667,1.000239498,-0.233333333,-0.9569,-0.7968,4328.571,5657.143,0.2599,-0.5292,-0.3933,4500,5442.857,-0.1323,0.2186,6,1778.571,2164.286,-0.3889,0.2186,8,4542.857,5485.714
bchu,CE24K01,5,2.683333,-1.308333667,1.374999333,16.31399491,-0.75,13.33499549,-0.358333333,8.168610088,0.516666667,0.141666667,2.7118,1.041556371,-0.508333333,0.968916674,0.175,0.998926601,-0.008333333,-1.124366667,-0.951066667,4285.714,5571.429,0.2522,-0.695566667,-0.473066667,4414.286,5614.286,-0.216466667,0.610333333,12,1714.286,2314.286,-0.190166667,0.651933333,12,4414.286,5871.429
bchu,DMPPT1_notcaught,1,2.467,-1.767,0.7,15.17013816,-0.116666667,3.635361956,-0.133333333,15.02279988,-0.108333333,-0.141666667,2.8796,1.034949541,-0.625,0.960200861,0.133333333,0.999989984,0.975,-1.2612,-0.9559,4640,5472,0.3342,-0.6126,-0.3386,4544,5888,-0.3323,0.2842,9,1792,2368,-0.3344,0.1472,8,4416,5824
