Cam/Dive,ind,dive,t,theta,L2,frame,z=0_time,t_relative_z,male_in_frame,taxon,year,absangle
GX014390,CE24K01,1,13.36746,179.141,4.31E+01,1485,14.90833,-1.54087,y,BCHU,2021,179.141
GX014390,CE24K01,1,13.40917,-115.4391,4.82E+01,1490,14.90833,-1.49916,y,BCHU,2021,115.4391
GX014390,CE24K01,1,13.45087,-72.09851,5.31E+01,1495,14.90833,-1.45746,y,BCHU,2021,72.09851
GX014390,CE24K01,1,13.49258,-126.1759,5.29E+01,1500,14.90833,-1.41575,y,BCHU,2021,126.1759
GX014390,CE24K01,1,13.53429,-128.9592,6.21E+01,1505,14.90833,-1.37404,y,BCHU,2021,128.9592
GX014390,CE24K01,1,13.576,-129.7128,6.62E+01,1510,14.90833,-1.33233,y,BCHU,2021,129.7128
GX014390,CE24K01,1,13.61771,-129.7894,6.94E+01,1515,14.90833,-1.29062,y,BCHU,2021,129.7894
GX014390,CE24K01,1,13.65942,-129.6322,7.22E+01,1520,14.90833,-1.24891,y,BCHU,2021,129.6322
GX014390,CE24K01,1,13.70112,-129.3167,7.44E+01,1525,14.90833,-1.20721,y,BCHU,2021,129.3167
GX014390,CE24K01,1,13.74283,-128.9545,7.63E+01,1530,14.90833,-1.1655,y,BCHU,2021,128.9545
GX014390,CE24K01,1,13.78454,-128.8102,7.82E+01,1535,14.90833,-1.12379,y,BCHU,2021,128.8102
GX014390,CE24K01,1,13.82625,-128.7734,7.89E+01,1540,14.90833,-1.08208,y,BCHU,2021,128.7734
GX014390,CE24K01,1,13.86796,-128.0804,7.94E+01,1545,14.90833,-1.04037,y,BCHU,2021,128.0804
GX014390,CE24K01,1,13.90967,-128.0804,7.94E+01,1550,14.90833,-0.99866,y,BCHU,2021,128.0804
GX014390,CE24K01,1,13.95138,-127.5735,7.98E+01,1555,14.90833,-0.95695,y,BCHU,2021,127.5735
GX014390,CE24K01,1,13.99308,-127.5735,7.98E+01,1560,14.90833,-0.91525,y,BCHU,2021,127.5735
GX014390,CE24K01,1,14.03479,-127.1239,7.96E+01,1565,14.90833,-0.87354,y,BCHU,2021,127.1239
GX014390,CE24K01,1,14.0765,-126.7873,7.91E+01,1570,14.90833,-0.83183,y,BCHU,2021,126.7873
GX014390,CE24K01,1,14.11821,-126.1633,7.88E+01,1575,14.90833,-0.79012,y,BCHU,2021,126.1633
GX014390,CE24K01,1,14.15992,-90.11955,7.82E+01,1580,14.90833,-0.74841,y,BCHU,2021,90.11955
GX014390,CE24K01,1,14.20162,-89.70915,7.76E+01,1585,14.90833,-0.70671,y,BCHU,2021,89.70915
GX014390,CE24K01,1,14.24333,-85.09657,7.73E+01,1590,14.90833,-0.665,y,BCHU,2021,85.09657
GX014390,CE24K01,1,14.28504,-84.6643,7.70E+01,1595,14.90833,-0.62329,y,BCHU,2021,84.6643
GX014390,CE24K01,1,14.32675,-84.34418,7.69E+01,1600,14.90833,-0.58158,y,BCHU,2021,84.34418
GX014390,CE24K01,1,14.36846,-99.1319,7.71E+01,1605,14.90833,-0.53987,y,BCHU,2021,99.1319
GX014390,CE24K01,1,14.41017,-85.38418,7.64E+01,1610,14.90833,-0.49816,y,BCHU,2021,85.38418
GX014390,CE24K01,1,14.45187,-85.26755,7.65E+01,1615,14.90833,-0.45646,y,BCHU,2021,85.26755
GX014390,CE24K01,1,14.49358,-75.28477,7.64E+01,1620,14.90833,-0.41475,y,BCHU,2021,75.28477
GX014390,CE24K01,1,14.53529,-74.90999,7.67E+01,1625,14.90833,-0.37304,y,BCHU,2021,74.90999
GX014390,CE24K01,1,14.577,-74.22422,7.65E+01,1630,14.90833,-0.33133,y,BCHU,2021,74.22422
GX014390,CE24K01,1,14.61871,-73.80354,7.64E+01,1635,14.90833,-0.28962,y,BCHU,2021,73.80354
GX014390,CE24K01,1,14.66042,-79.83449,7.63E+01,1640,14.90833,-0.24791,y,BCHU,2021,79.83449
GX014390,CE24K01,1,14.66042,-80.00346,7.66E+01,1640,14.90833,-0.24791,y,BCHU,2021,80.00346
GX014390,CE24K01,1,14.70213,-79.21977,7.64E+01,1645,14.90833,-0.2062,y,BCHU,2021,79.21977
GX014390,CE24K01,1,14.74383,-78.9755,7.62E+01,1650,14.90833,-0.1645,y,BCHU,2021,78.9755
GX014390,CE24K01,1,14.78554,-78.41593,7.64E+01,1655,14.90833,-0.12279,y,BCHU,2021,78.41593
GX014390,CE24K01,1,14.82725,-77.77599,7.68E+01,1660,14.90833,-0.08108,y,BCHU,2021,77.77599
GX014390,CE24K01,1,14.86896,-77.23226,7.69E+01,1665,14.90833,-0.03937,y,BCHU,2021,77.23226
GX014390,CE24K01,1,14.91067,-75.8909,7.75E+01,1670,14.90833,0.00234,y,BCHU,2021,75.8909
GX014390,CE24K01,1,14.95237,-75.05825,7.79E+01,1675,14.90833,0.04404,y,BCHU,2021,75.05825
GX014390,CE24K01,1,14.99408,-74.10089,7.83E+01,1680,14.90833,0.08575,y,BCHU,2021,74.10089
GX014390,CE24K01,1,15.03579,-81.08688,7.85E+01,1685,14.90833,0.12746,y,BCHU,2021,81.08688
GX014390,CE24K01,1,15.0775,-80.65552,7.85E+01,1690,14.90833,0.16917,y,BCHU,2021,80.65552
GX014390,CE24K01,1,15.11921,-80.11025,7.85E+01,1695,14.90833,0.21088,y,BCHU,2021,80.11025
GX014390,CE24K01,1,15.16092,-99.81939,7.85E+01,1700,14.90833,0.25259,y,BCHU,2021,99.81939
GX014390,CE24K01,1,15.20262,-140.5865,7.92E+01,1705,14.90833,0.29429,y,BCHU,2021,140.5865
GX014390,CE24K01,,15.24433,-139.5376,7.92E+01,1710,14.90833,0.336,n,BCHU,2021,139.5376
GX014390,CE24K01,,15.28604,-142.319,7.94E+01,1715,14.90833,0.37771,n,BCHU,2021,142.319
